Год;Ижевск;Сарапул;Воткинск;Глазов;Можга;Камабрка
2010;610633;101381;99022;95854;47961;11021
2011;627917;101400;99000;95900;48000;11000
2012;629455;100589;98628;95553;48764;10862
2013;623913;100153;98287;95117;49284;10730
2014;637309;99869;98045;94909;49841;10658
2015;642024;99213;98222;94610;49777;10670
2016;643496;98569;98134;93995;49733;10577
2017;646277;97910;98063;93628;49617;10477
2018;648213;97305;97550;93056;49328;10276
2019;648944;96361;97345;92381;49093;10236
2020;648146;95355;97244;92334;48986;10112
2021;646468;94554;96861;91921;48750;10048
